ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
168;Zweibrücken, kreisfreie Stadt;2012;39,3;44,49;4,88;60,98;7,84;2456,84;482,22;1219,15;579,88;28,98;71;23;323,94;1,18;274,53;71,61;8,1;61,6;west;3522,28
169;Alzey-Worms;2012;23,07;42,92;5,52;63,72;8,92;2194,92;212,83;248,06;606,56;22,62;588;46;78,23;6,88;11,37;74,41;5;86,2;west;501,93
170;Bad Dürkheim;2012;27,3;45,33;5,67;63,28;12,32;2039,54;220,11;257;621,09;21,23;595;46;77,31;8,83;8,76;44,83;3,9;93;west;374,19
171;Donnersbergkreis;2012;43,22;43,64;5,01;65,07;7,03;2284,02;116,98;326,55;600,28;35,03;645;30;46,51;11,81;3,94;38,55;2,4;111,8;west;1131,64
172;Germersheim;2012;58,52;42,51;6,14;64,76;7,92;2774,14;269,58;412,39;590,45;46,14;463;58;125,27;7,37;17;53,43;2,6;59,2;west;4636,63
173;Kaiserslautern;2012;27,46;43,8;5,27;62,35;7,05;1949,65;163,22;220,85;598,37;26,73;640;33;51,56;8,65;5,96;53,33;5,3;99;west;2761,42
174;Kusel;2012;21,96;45,24;4,86;68,59;5,09;1847,76;125,17;120,61;621,51;24,04;573;22;38,39;15,97;2,4;32,59;1;124,7;west;523,79
175;Südliche Weinstraße;2012;28,12;44,59;5,87;68,34;8,17;2142,11;169,97;232,45;625,53;25;640;43;67,19;10,9;6,16;53,85;6,4;100,8;west;239,51
176;Rhein-Pfalz-Kreis;2012;22,84;44,63;6,6;63,96;11,72;2030,2;485,58;197,78;612,47;23,69;305;43;140,98;5,36;26,3;87,64;1;68;west;3672,69
177;Mainz-Bingen;2012;47,07;43,16;6,28;60,86;14,47;2598;333,85;1008,03;608,46;27,49;606;73;120,46;8,41;14,32;81,83;1,8;71,2;west;642,68
178;Südwestpfalz;2012;30,74;45,88;4,81;67,45;5,72;1872,37;101,9;228,6;640,9;31,79;954;25;26,21;16,67;1,57;37,48;2,6;152,1;west;173,91
179;Stuttgart, Stadtkreis;2012;31,63;41,46;9,4;43,9;26,24;3607,86;2883,72;1074,54;464,27;18,54;207;490;2367,15;12,97;182,51;83,31;8,5;20,3;west;1242,77
