ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
251;Kelheim;2012;41,65;41,82;5,81;68;7,06;2355,13;106,9;427,21;596,84;36,36;1066;52;48,78;9,97;4,89;44,01;3,6;36;west;1315,54
252;Landshut;2012;48,79;41,86;5,79;67,13;7,44;2523,95;110,44;335,47;615,79;37,54;1348;62;45,99;12,82;3,59;46,76;1,3;34,1;west;1329,89
253;Passau;2012;39,48;43,62;5,27;67,75;5,39;2144,7;120,83;290,58;598,32;35,62;1530;83;54,25;15,74;3,45;25,67;3,1;64,2;west;2135,27
254;Regen;2012;36,69;44,13;4,25;70,37;4,76;2138,93;78,29;426,3;581,63;34,12;975;37;37,95;35,12;1,08;28,35;4,1;58,4;west;2495,51
255;Rottal-Inn;2012;34,82;43,35;5,01;67,69;4,9;2218,13;91,65;320,99;616,88;35,25;1281;58;45,28;19,96;2,27;35,13;4,7;41,6;west;431,2
256;Straubing-Bogen;2012;37,49;42,35;4,9;70,28;5,82;2178,83;80,43;378,47;611,02;36,72;1202;36;29,95;13,39;2,24;8,11;4,3;50,4;west;888,52
257;Dingolfing-Landau;2012;69,04;42,41;5,12;66,83;5,12;3043,91;103,97;1623,23;620,65;52,74;878;63;71,75;9,34;7,68;33,9;2,7;41,3;west;515,62
258;Amberg;2012;39,71;44,73;5,24;61,59;8,77;2638,06;829,4;544,54;552,07;31,45;50;34;680;8,47;80,28;89,73;13,5;28,6;west;1034,37
259;Regensburg, Stadt;2012;47,51;41,34;8,36;47,33;23,63;2993,09;1714,13;1828,61;541;24,67;81;142;1753,09;2,71;646,9;94,49;19,6;39;west;1125,3
260;Weiden i.d.OPf.;2012;19,3;44,62;5,59;60,46;8,6;2111,94;590,76;376;575,98;20,24;71;39;549,3;5,54;99,15;95,07;17,3;44;west;1672,94
261;Amberg-Sulzbach;2012;38,6;43,37;5,14;69,79;5,76;2346,13;82,3;257,31;607,23;37,02;1256;38;30,25;12,16;2,49;52,64;2;50,1;west;2729,12
262;Cham;2012;41,14;43,31;4,38;69,89;4,88;2197,26;83,07;385,05;619,27;39,52;1512;70;46,3;37,86;1,22;12,44;6,2;49,6;west;938,58
263;Neumarkt i.d.OPf.;2012;40,01;42,12;6,07;68,83;6,76;2331,85;94,59;412,71;594,32;38,47;1344;62;46,13;9,59;4,81;31,91;4,1;55,1;west;2973,27
264;Neustadt a.d.Waldnaab;2012;45,66;43,01;5,07;65,87;5,01;2296,77;67,14;305,02;611,43;43,75;1428;37;25,91;10,62;2,44;56,87;1,9;54;west;1281,66
265;Regensburg;2012;35,89;42,28;6,36;66,54;9,98;2463,02;132,44;221,1;600,29;34,08;1392;62;44,54;7,92;5,62;58,55;1,2;43,2;west;2298,15
266;Schwandorf;2012;40,95;43,23;4,92;69,14;5,31;2292,41;97,05;363,74;614,18;36,24;1473;73;49,56;11,45;4,33;26,41;4,4;38,5;west;7458,3
267;Tirschenreuth;2012;46,2;44,37;4,07;71,53;4,93;2326,53;68,18;314,98;605,48;41,53;1084;33;30,44;14,5;2,1;57,08;4,2;52;west;3909,58
268;Bamberg, Stadt;2012;33,83;42,88;7,67;54,03;18,75;2518,71;1297,38;495,08;508,01;27,02;55;68;1236,36;6,57;188,18;95,46;14,5;56;west;2358,35
269;Bayreuth, Stadt;2012;26,54;43,11;6,6;56,75;15,61;2460,71;1068,49;682,66;499,57;16,99;67;66;985,07;4,12;239,1;92,65;19,2;62,1;west;358,3
270;Coburg, Stadt;2012;30,02;44,74;5,89;60,34;14,49;2953,31;849,49;1943,93;557,26;26;48;41;854,17;6,08;140,49;79,21;12,4;55,5;west;4583,27
271;Hof, Stadt;2012;16,7;45,5;4,04;62,02;9,7;2272,49;766,3;359,57;513,82;17,02;58;35;603,45;6,68;90,34;97,63;9,5;56,2;west;66,4
272;Bamberg;2012;38,27;42,09;5,95;70,86;6,79;2280,05;123,1;349,13;619,05;36,12;1168;51;43,66;7,49;5,83;34,69;1,7;55,9;west;672,94
273;Bayreuth;2012;31,1;43,92;5,22;71,36;6,06;2318,54;82,35;223,58;616,66;33,35;1274;35;27,47;10,29;2,67;39,65;1,2;67,3;west;913,48
274;Coburg;2012;48,08;44,73;5,09;72,3;6,52;2194,68;147,35;442,58;604,74;47,63;590;36;61,02;9,44;6,46;56,27;1,1;59;west;898,66
275;Forchheim;2012;34,99;42,79;6,32;64,96;11,1;2466,06;176,31;219,8;614,9;31,45;643;40;62,21;12,17;5,11;42,42;2,7;50,3;west;299,94
276;Hof;2012;44,79;46,26;4,44;72,12;6,28;2339,53;109,66;326,1;601,68;43,23;893;47;52,63;6,66;7,9;50,48;5,5;71;west;2385,25
277;Kronach;2012;41,3;45,5;4,9;69,27;5,18;2400,08;106,05;364,37;609,7;46,68;652;36;55,21;28,03;1,97;44,93;4,1;49,4;west;5660,77
278;Kulmbach;2012;41,77;45,21;4,47;72,08;6,37;2347,04;111,21;411,59;621,48;35,27;658;37;56,23;9,36;6,01;60,02;6,8;46,3;west;1312,73
279;Lichtenfels;2012;33,75;44,32;4,54;70,98;5,2;2282,78;129,06;333,96;596,6;32,02;520;38;73,08;7,63;9,58;52,51;11,1;51,2;west;2234,63
280;Wunsiedel i.Fichtelgebirge;2012;38,87;46,93;3,95;67,77;5,92;2351,48;123,02;257,11;589,83;37,71;606;38;62,71;8,79;7,13;60,11;5,6;49,3;west;2115,87
281;Ansbach, Stadt;2012;28,41;43,93;5,66;59,29;10,27;2544,37;397,12;482,94;556,57;19,59;100;35;350;8,78;39,86;80,94;21,9;35,4;west;2470,72
282;Erlangen;2012;46,89;41,22;8,28;43,26;30,39;3712,22;1369,52;721,82;480,95;33,57;77;110;1428,57;1,92;744,05;79,29;20;22,5;west;436,83
283;Fürth, Stadt;2012;28,73;42,34;7,13;54,1;13,84;2761,19;1868,32;449,18;466,5;24,26;63;56;888,89;5,39;164,91;63,81;7,1;27,8;west;1705,65
284;Nürnberg;2012;23,91;43,04;7,31;49,71;16,44;2944,64;2655,8;802,26;454,4;18,24;186;369;1983,87;6;330,65;86,04;7;30;west;2841,38
285;Schwabach;2012;36,59;43,69;6,05;60,8;11,73;2379,11;959,01;491,4;582,44;31,73;41;21;512,2;3,44;148,89;63,42;4,3;22,9;west;1183,53
286;Ansbach;2012;43,52;42,64;5,2;68,19;5,98;2246,38;90,42;467,69;609,85;40,6;1972;80;40,57;10,81;3,75;51,23;3,2;60,2;west;2837,95
287;Erlangen-Höchstadt;2012;38,19;42,79;6,81;60,26;17,27;2680,84;232,41;374,37;620,96;38,19;565;58;102,65;6,67;15,39;48,87;0,7;40,5;west;34,64
288;Fürth;2012;29,66;44,17;6,59;64,41;11,35;2220,2;370,66;291,59;600,8;34,84;307;35;114,01;14,29;7,98;46,37;1;35,2;west;567,16
289;Nürnberger Land;2012;38,41;44,31;6,22;65,04;11,13;2430,86;205,83;429,56;592,6;34,51;800;72;90;7,27;12,38;51,41;6;45,9;west;2332,76
290;Neustadt a.d.Aisch-Bad Windsheim;2012;30,99;43,19;5,01;65,98;6,38;2155,51;76,84;316,39;600,8;31,49;1268;44;34,7;15,39;2,25;42,56;4,6;59,2;west;3827,83
291;Roth;2012;30,99;43,1;6,05;67,77;8,39;2326,06;137,55;364,6;619,83;33,22;895;53;59,22;9,07;6,53;43,1;2,2;46;west;3748,81
292;Weißenburg-Gunzenhausen;2012;39,42;43,64;4,75;69,2;6,05;2231,25;94,95;300,04;590,69;34,63;971;43;44,28;31,06;1,43;57,16;4,6;73,3;west;6495,62
293;Aschaffenburg, Stadt;2012;29,04;43,3;6,81;55,12;13,16;2573,22;1083,24;730,1;593,06;22,67;62;62;1000;4,87;205,34;92,5;11,8;66,3;west;4593,73
294;Schweinfurt, Stadt;2012;62,28;44,78;5,36;55,16;9,44;3036,8;1458,92;1158,41;500,63;43,1;36;64;1777,78;5,05;352,04;70,47;17,4;53,5;west;5570,5
295;Würzburg, Stadt;2012;15,03;42,21;7,31;51,16;21,7;2513,67;1421,63;541,24;472,37;11,38;88;115;1306,82;8,21;159,17;87,34;18,8;51,1;west;4235,93
296;Aschaffenburg;2012;33,41;43,53;6,15;64,57;9,53;2514,21;246,84;378,68;616,04;36,95;699;72;103;8,36;12,32;35,39;0,9;47,8;west;1365,93
297;Bad Kissingen;2012;23,87;45,07;3,98;69,49;6,33;2191,04;90,7;263,18;613,83;24,42;1137;53;46,61;8,39;5,56;59,34;8,8;66,2;west;2053,23
298;Rhön-Grabfeld;2012;38,47;43,69;4,77;70,78;6,64;2352,72;78,51;297,43;609,9;37,61;1022;42;41,1;13,5;3,04;35,46;13,5;74,9;west;1405,8
299;Haßberge;2012;44,84;43,1;4,98;71,41;5,09;2205,88;88,08;298,14;621,76;43,55;956;39;40,79;13,57;3,01;45,82;2,8;78,2;west;3917,72
300;Kitzingen;2012;29,82;43,18;4,74;66,85;6,98;2248,82;128,47;392,5;611,62;28,93;684;45;65,79;7;9,4;42,32;2,8;82,9;west;913,96
301;Miltenberg;2012;42,32;43,1;5,16;65,59;6,64;2353,61;178,73;392,01;593,26;41,37;716;58;81,01;26,03;3,11;56,66;2,3;63,6;west;669,88
302;Main-Spessart;2012;53,46;44,24;5;69,01;7,21;2689,76;95,73;343,8;614,71;45;1321;61;46,18;19,31;2,39;32,16;5,2;61,4;west;4849,77
303;Schweinfurt;2012;33,41;43,75;5,02;67,37;7,04;2134,19;134,1;133,77;613,6;25,34;842;36;42,76;8,03;5,32;58,25;5,4;71,1;west;2160,1
304;Würzburg;2012;22,82;43,18;6,59;68,44;10,37;2294,47;163,18;303,54;603,63;25,71;968;58;59,92;9,55;6,27;40,32;0,8;48,6;west;622,44
305;Augsburg, Stadt;2012;31,36;42,58;6,99;52,71;14,8;2804,14;1856,23;573,2;439,32;21,56;147;184;1251,7;10,36;120,82;82,94;10,8;30,5;west;1756,57
306;Kaufbeuren;2012;21,6;44,37;5,6;62,54;8,08;2252,77;1038,21;285,06;510,9;19,41;40;25;625;21,45;29,14;96,59;15,3;15,5;west;357,13
307;Kempten (Allgäu);2012;18,13;43,77;5,83;61,4;10,13;2488,13;1021,09;573,94;529,47;16,85;63;52;825,4;3,79;217,78;96,1;8,9;36,1;west;2915,45
308;Memmingen;2012;42,21;43,52;5,88;61,74;8,22;2465,77;592,32;725,35;552,12;33,17;70;37;528,57;4,03;131,16;88,02;13,1;24;west;3430,07
309;Aichach-Friedberg;2012;32,09;42,23;6,5;65,61;9,9;2124,64;163,07;377,16;588,2;38,1;780;54;69,23;14,19;4,88;49,02;2,4;31,2;west;3140,87
310;Augsburg;2012;37,48;42,78;6,7;65,48;9,5;2426,76;223,14;358,22;594;30,89;1071;97;90,57;13,82;6,55;56,3;1,6;39,4;west;2516,91
311;Dillingen a.d.Donau;2012;38,18;42,34;5,35;67,04;5,56;2384,01;117,55;398,84;608,18;36,19;792;44;55,56;23,77;2,34;39,15;3,4;44,5;west;1520,63
312;Günzburg;2012;47,6;42,15;5,51;65,76;6,61;2461,73;157,57;442,19;598,69;35,59;762;65;85,3;10,73;7,95;40,75;8,7;44,7;west;3177,22
313;Neu-Ulm;2012;42,87;42,46;6,63;62,61;10,48;2655,93;320,35;498,75;572,9;38,08;516;81;156,98;6,7;23,43;71,46;2,4;37,5;west;2830,85
314;Lindau (Bodensee);2012;42,14;43,82;7,54;63,6;10,71;2550,53;243,14;396,52;578,71;37,97;323;41;126,93;15,12;8,4;49,93;6,8;45,1;west;921,15
315;Ostallgäu;2012;44,41;42,8;6,16;70,33;7,41;2534,27;96,15;425,66;580,16;37,66;1395;64;45,88;12,59;3,64;53,66;4,4;43;west;2519,68
316;Unterallgäu;2012;48,9;42,8;5,81;69,92;6,4;2527,57;110,88;390,52;603,51;42,2;1230;65;52,85;8,2;6,44;40,72;3;46,1;west;2676,5
317;Donau-Ries;2012;53,17;42,31;5,63;69,2;6,69;2491,37;101,15;621,05;616,17;38,62;1275;81;63,53;35,25;1,8;47,61;4;57,5;west;3903,74
318;Oberallgäu;2012;34,84;43,83;5,83;69,23;8,14;2335,53;97,81;321,06;589,94;30,74;1528;69;45,16;17,09;2,64;65,03;3,6;45,5;west;1792,92
319;Regionalverband Saarbrücken;2012;28,02;44,8;5,66;58,5;13,14;2524,55;795,44;452,18;552,56;21,1;411;212;515,82;2,35;219,5;72,01;8,1;25,8;west;2425,88
320;Merzig-Wadern;2012;25,49;44,54;5,51;66,62;7,24;2177,76;186,47;227,7;621,63;27,81;555;44;79,28;7,64;10,38;36,53;4,8;47,4;west;3589,93
321;Neunkirchen;2012;37,24;45,94;5,11;64,95;7,85;2171,31;538,03;251,48;601,59;26,67;249;55;220,88;5,18;42,64;73,3;5,4;25;west;6451,46
322;Saarlouis;2012;45,92;45,37;5,55;65,51;8,17;2363,35;428,3;358,59;619,76;35,41;459;96;209,15;5,85;35,75;63,62;4,9;29,9;west;3939,7
323;Saarpfalz-Kreis;2012;44,57;45,93;5,66;63,36;11,57;2575,86;344,87;503,36;629,69;36,01;418;83;198,56;6,96;28,53;87,15;9,7;31,5;west;7763,55
324;St. Wendel;2012;39,98;45,7;5,23;68,67;8,41;2078,2;187,16;316,01;631,6;32,43;476;36;75,63;6,85;11,04;40,27;2,7;71;west;1106,39
325;Berlin, Stadt;2012;16,52;42,41;6,95;46,2;20,02;2538,6;3785,15;384,32;336,48;12,67;892;1745;1956,28;7,12;274,76;89,33;6;33,2;east;813,41
326;Brandenburg an der Havel, Stadt;2012;26,35;47,19;5,45;67,57;9,75;2186,7;310,91;259,02;457,73;21,63;229;38;165,94;12,75;13,01;63,36;13,3;105,4;east;6599,7
327;Cottbus, Stadt;2012;12,17;45,46;5,37;63,04;15,72;2164,57;608,15;301,88;474,07;10,23;164;62;378,05;10,13;37,32;86,07;12,5;87,5;east;458,14
328;Frankfurt (Oder), Stadt;2012;16,61;46,05;5,51;63,03;12,61;2166,14;396,48;132,84;480,17;12,85;148;41;277,03;5,96;46,48;76,78;16,4;132;east;750,77
329;Potsdam, Stadt;2012;8,39;42,2;7,51;53,95;21,66;2318,59;849,71;394,75;412,01;6,73;188;111;590,43;8,84;66,79;82,37;9,5;58;east;193,81
330;Barnim;2012;19,88;45,67;5,98;65,32;11;1996,58;117,69;164,94;541,06;21,04;1472;65;44,16;12,39;3,56;29,13;6,5;59,9;east;2315,17
331;Dahme-Spreewald;2012;17,55;45,98;6,54;65;11,11;2185,26;70,88;447,83;568,93;21,95;2262;72;31,83;15,07;2,11;30,04;6,1;95,2;east;2672,08
332;Elbe-Elster;2012;29,64;47,81;4,64;73,91;7,99;1939,91;56,98;187,01;588,52;30,1;1889;45;23,82;34,81;0,68;14,26;4,3;128,3;east;3799,38
333;Havelland;2012;29,55;44,86;5,52;65,94;9,62;1765,71;89,27;220,35;537,46;25,95;1717;60;34,94;26,9;1,3;49,59;3,1;74,1;east;3667,76
334;Märkisch-Oderland;2012;23,05;46,13;5,57;65,72;10,31;1995,55;86,92;216,38;562,26;22,48;2150;66;30,7;30,13;1,02;19,34;3,6;197,4;east;3572,69
335;Oberhavel;2012;29,76;45,06;6;64,13;10,57;2161,4;112,42;303,3;536,96;28,25;1798;74;41,16;24,83;1,66;42,25;5;60,1;east;1118,81
336;Oberspreewald-Lausitz;2012;32,96;48,04;4,88;69,51;9,76;2075,39;94,68;273,92;571,62;28,65;1217;50;41,08;8,05;5,1;55,05;4,5;133;east;3896,43
337;Oder-Spree;2012;31,81;47;5,68;68,29;10,46;2084,52;78,92;159,99;570,62;27,66;2243;71;31,65;16,33;1,94;38,84;7,5;159,7;east;6091,52
338;Ostprignitz-Ruppin;2012;27,55;46,66;4,96;69,16;7,71;1969,28;39,5;205,57;562,06;25,07;2509;46;18,33;16,22;1,13;34,91;11,8;114,2;east;2359,75
339;Potsdam-Mittelmark;2012;22,45;44,84;6,26;63,43;14,25;2174,56;79,35;227,82;563,37;23,45;2576;78;30,28;10,83;2,8;32,12;3,2;75,3;east;1519,7
340;Prignitz;2012;30,96;48,23;4,6;72,7;6,43;1946,37;37,11;203,19;563,32;27,59;2124;35;16,48;18,27;0,9;31,62;4,5;91,5;east;1900,87
341;Spree-Neiße;2012;64,36;47,86;4,59;68,77;9,57;2057,49;72,91;320,57;595,68;38,61;1648;47;28,52;18,99;1,5;39,66;4,5;93,7;east;7527,72
342;Teltow-Fläming;2012;40,02;45,07;5,34;67,16;8,61;2274;76,32;527,64;572,75;31,49;2092;71;33,94;23,21;1,46;29,96;3;142,6;east;6720,63
343;Uckermark;2012;34,67;47,45;5,06;69,4;8,1;2029,03;40,04;177,38;551,44;25,74;3059;52;17;19,45;0,87;37,6;6,6;174,7;east;8236,02
344;Rostock;2012;18,87;44,11;5,72;59,1;17,99;2264,27;1119,25;323,58;387,91;12,86;181;109;602,21;8,16;73,8;89,5;7,4;88,1;east;3363,54
345;Schwerin;2012;15,71;45,87;5,8;62,64;14,72;2257,42;699,18;264,45;449,64;12,55;131;63;480,92;13,48;35,68;87,81;16,4;95,9;east;636,58
346;Mecklenburgische Seenplatte;2012;21,94;46,36;5,17;68,4;10,37;2008,99;48,31;225,59;532,18;20,53;5470;125;22,85;22,99;0,99;50,12;6,2;245,3;east;2877,38
347;Landkreis Rostock;2012;22,26;45,66;5,46;67,09;11,35;1874,67;61,59;223,22;554,2;21,55;3421;87;25,43;12,76;1,99;24,82;3,8;287;east;1683,61
348;Vorpommern-Rügen;2012;14,81;46,71;6,06;65,79;8,75;1953,94;69,76;218,55;518,01;15,72;3207;99;30,87;30,18;1,02;54,04;5,2;244,9;east;1073,06
349;Nordwestmecklenburg;2012;34,33;44,95;5,46;66,94;9,47;2025,51;73,55;177,75;535,68;29,89;2118;58;27,38;11,84;2,31;35,76;3,8;282,7;east;7388,42
350;Vorpommern-Greifswald;2012;17,05;45,72;5,78;65,6;11,43;1907,39;60,89;195,8;506,22;15,93;3930;104;26,46;23,49;1,13;52,27;9,4;202,2;east;335,14
351;Ludwigslust-Parchim;2012;30,56;45,74;5,02;67,76;7,95;1915,42;44,7;228,22;574,15;32,15;4752;85;17,89;16,35;1,09;26,91;4,5;303;east;2116,58
352;Chemnitz, Stadt;2012;24,81;46,69;4,92;64,56;18,51;2191,32;1092,14;421,86;497,23;20,08;221;146;660,63;7,38;89,52;72,52;9,9;80,9;east;781,93
353;Erzgebirgskreis;2012;38,43;47,38;4,67;74,95;9,83;1842,82;194,31;218,16;571,38;39,78;1828;153;83,7;27,65;3,03;37,85;5,8;53,7;east;398,39
354;Mittelsachsen;2012;36,03;47,17;4,78;71,87;11,68;2008,39;150,09;285,45;568,18;36,01;2113;144;68,15;15,58;4,37;28,33;4,9;53,6;east;1971,96
355;Vogtlandkreis;2012;34,18;48,12;4,19;71,75;10,84;1960,25;167,31;273,74;572,75;34,04;1412;106;75,07;13,3;5,64;36,24;7,2;57,6;east;1049,08
356;Zwickau;2012;39,01;47,76;4,75;71,92;11,59;2120,21;347,93;430,38;554,12;33,2;949;160;168,6;8,38;20,12;38,07;6,4;44,9;east;695,97
357;Dresden, Stadt;2012;20,05;42,58;6,08;55,86;26,2;2389,29;1599,42;386,42;400,62;17,11;328;312;951,22;8,68;109,59;78,8;6,8;30,6;east;864,61
358;Bautzen;2012;33,61;46,86;5,02;70,77;11,99;1974,1;130,04;268,41;576,13;32,87;2391;143;59,81;15,9;3,76;32,42;5,7;65,4;east;2876,92
359;Görlitz;2012;38,52;47,95;4,39;71,14;11,38;1927,17;125,66;274,68;542,95;30,4;2106;113;53,66;22,38;2,4;35,79;7,3;132,9;east;1879,65
360;Meißen;2012;37,71;46,88;5,15;69,09;13,52;2114,96;168,49;321,82;541,49;33,57;1452;111;76,45;14,64;5,22;36,1;4,9;64,3;east;1073,64
361;Sächsische Schweiz-Osterzgebirge;2012;33,28;46,71;5,08;70,66;12,68;1943,23;148,71;267,56;553,28;32,53;1654;99;59,85;16,3;3,67;33,94;5,1;48,9;east;555,1
362;Leipzig, Stadt;2012;18,51;43,19;5,04;56,31;22,7;2249,4;1751,36;378,5;384,1;13,96;297;311;1047,14;11,49;91,13;82,33;7,9;57,6;east;441,34
363;Leipzig;2012;39,16;46,77;4,98;69,65;12,43;1980,19;157,37;265,49;565,39;31,75;1647;99;60,11;10,01;6;29,7;4,3;133,4;east;6239,16
364;Nordsachsen;2012;29,47;46,61;5;71,13;10,09;2005,67;98,32;247,96;561,48;29,57;2020;93;46,04;26,31;1,75;26,32;7,2;76,2;east;1184,14
365;Dessau-Roßlau, Stadt;2012;27,37;48,76;5,24;68,67;12,9;2143,97;345,7;260,4;498;22,64;245;45;183,67;6,18;29,72;66,29;11,2;199;east;1013,91
366;Halle (Saale), Stadt;2012;14,17;44,4;5,33;60,72;18,74;2160,23;1714,24;196,94;387,09;10,81;135;125;925,93;6,36;145,59;68,68;13,1;79,1;east;518,87
367;Magdeburg, Landeshauptstadt;2012;17,49;44,88;5,15;60,4;17,87;2177,12;1143,9;374,88;448,23;14,31;201;137;681,59;9,25;73,69;63,13;10,1;99,7;east;5675,17
368;Altmarkkreis Salzwedel;2012;33,23;45,78;4,54;72,34;7,65;1898,6;37,89;289,56;578,8;29,59;2293;38;16,57;44,4;0,37;29,53;5;384;east;3139,83
369;Anhalt-Bitterfeld;2012;38,1;47,62;4,95;70,2;9,05;2048,83;115,92;313,97;554,19;34,53;1453;73;50,24;18,54;2,71;32,22;5,3;300,4;east;2799,85
370;Börde;2012;44,67;45,67;4,64;71,05;8,45;2125,06;73,52;521,27;593,87;35,17;2367;72;30,42;13,13;2,32;12,91;3,8;253,5;east;2855,54
371;Burgenlandkreis;2012;36,5;47,99;4,8;72,79;8,48;2008,48;131,63;296,59;544,7;28,73;1414;73;51,63;15,61;3,31;33,7;5,8;252,7;east;6601,19
372;Harz;2012;32,84;47,57;4,82;71,3;8,9;1974,5;106,01;224,66;539,68;29,66;2104;93;44,2;11,21;3,94;37,6;7,5;198;east;2272,54
373;Jerichower Land;2012;33,6;46,9;4,87;69,44;9,16;1995,04;58,58;221,94;580;31,72;1577;39;24,73;18,81;1,31;16,05;8;319,3;east;3720,4
374;Mansfeld-Südharz;2012;32,74;48,38;4,76;73,35;8,16;1898,74;99,9;163,55;560,38;30,05;1449;54;37,27;9,61;3,88;23,08;5,4;289,8;east;1932,76
375;Saalekreis;2012;48,55;46,5;4,91;70,36;10,83;2181,84;132;366,36;588,01;33,95;1433;85;59,32;7,34;8,08;22,98;3,4;242,5;east;9332,41
376;Salzlandkreis;2012;40,05;47,63;4,64;71,5;8,48;1939,83;141,06;248,54;520,04;31,43;1426;83;58,2;9,59;6,07;36,72;6,9;226,2;east;7887,88
377;Stendal;2012;28,4;46,29;4,82;70,97;9,51;1897,28;48,15;176,56;539,79;25,28;2423;48;19,81;41,5;0,48;47,3;8,8;353,3;east;762,6
378;Wittenberg;2012;42,45;48,03;4,54;73,82;8,56;1953,16;67,72;358,37;572,54;33,33;1930;53;27,46;29,15;0,94;29,89;5;343,1;east;843,37
379;Erfurt, Stadt;2012;16,64;43,73;6,01;61,72;18,04;2202,23;756,03;339,97;439,02;13,58;269;140;520,45;10,51;49,52;67,08;8,1;38,1;east;1748,46
380;Gera, Stadt;2012;16,93;47,93;4,75;70,15;11,49;2010,51;627,86;246,97;469,54;16,44;152;52;342,11;7,95;43,03;77,47;10;57,6;east;900,66
381;Jena, Stadt;2012;27,63;41,77;8,09;52,23;33,34;2366;933,92;519,81;395,19;19,98;114;67;587,72;6,97;84,32;69,26;13,4;27,7;east;272,05
382;Suhl, Stadt;2012;16,98;49,29;5,21;69,21;13,29;2036;263,41;346,67;553,68;18,64;145;22;151,72;4,96;30,59;83,13;17,2;49,3;east;267,04
383;Weimar, Stadt;2012;17,19;43,3;6,75;58,34;23,39;2117;751,11;216,68;432,38;13,87;84;35;416,67;8,23;50,63;72,32;8,7;37,8;east;47,14
384;Eichsfeld;2012;41,12;44,23;4,76;75,93;6,95;1875,82;107,76;246,48;576,36;39,57;940;46;48,94;11,63;4,21;19,68;4,4;55;east;1908,66
385;Nordhausen;2012;34,13;46,36;4,89;70,18;9,54;1990,25;120,84;257,68;542,46;29,98;711;39;54,85;8,18;6,71;22,04;11,8;67,7;east;3987,5
386;Wartburgkreis;2012;44,27;46,14;5,03;73;8,4;2175,53;120,59;317,23;565,03;38,01;1370;82;59,85;16,15;3,71;15,17;5,4;55,2;east;2822,02
387;Unstrut-Hainich-Kreis;2012;30,05;45,72;4,87;74,48;7,83;1942,75;107,58;235,94;522,67;29,54;976;46;47,13;26,69;1,77;37,12;11,1;51,3;east;2573,09
388;Kyffhäuserkreis;2012;29,39;47,16;4,96;71,96;7,21;2085,34;75,95;152,27;565,65;29,08;1035;30;28,99;17,18;1,69;14,96;6,5;91,8;east;1085,34
389;Schmalkalden-Meiningen;2012;41,26;46,68;5;73,41;9,66;1946,87;104,08;269,39;587,06;38,14;1249;59;47,24;17,31;2,73;36,99;7;54,8;east;3219,74
390;Gotha;2012;38,48;46,06;4,88;72,71;9,06;2057,08;144,69;226,66;538,33;34,45;936;63;67,31;9,43;7,14;42,76;4;62,5;east;566,64
391;Sömmerda;2012;41,98;45,68;5,17;72,51;7,97;1919,59;88,3;270,32;553,61;36,57;804;28;34,83;10,93;3,19;21,54;1;78;east;344,72
392;Hildburghausen;2012;40,11;46;4,82;78,21;7,38;1909,2;69,93;199,15;605,86;40,63;937;26;27,75;13,48;2,06;28,6;8,5;73,8;east;1784,57
393;Ilm-Kreis;2012;38,85;46,06;5,29;70,3;12,7;2114,61;134,01;356,62;532,32;38,92;801;51;63,67;7,22;8,82;36,01;5,3;62,6;east;2434,82
394;Weimarer Land;2012;38,05;45,27;5,17;72,36;10,77;2047,97;102,13;281,29;569,04;34,4;803;33;41,1;13,92;2,95;36,35;14,2;60;east;1059,98
395;Sonneberg;2012;46,37;47,8;4,89;73,79;8,18;1902,36;129,23;299,07;576,75;41,2;465;28;60,22;18,78;3,21;58,42;6,5;53,7;east;595,97
396;Saalfeld-Rudolstadt;2012;40,75;48,09;5,07;73,63;9,59;2003,17;108,85;316,38;553,08;35,83;1004;49;48,8;28,99;1,68;37,23;8,9;55,7;east;3548,29
397;Saale-Holzland-Kreis;2012;36,32;46,29;4,98;71,46;11,71;1974,4;103,16;244,14;573,42;36,24;817;36;44,06;10,65;4,14;34,17;7,8;56,4;east;3160,63
398;Saale-Orla-Kreis;2012;47,41;46,92;5,02;76,73;7,66;1889,56;73,52;296,64;599,1;42,85;1148;41;35,71;11,99;2,98;36,11;1,4;68,1;east;14388,64
399;Greiz;2012;36,6;48,25;4,46;74,53;9,15;1893,23;122,46;217,97;588,23;37,39;844;40;47,39;13,57;3,49;41,93;4,3;101,2;east;3949,5
400;Altenburger Land;2012;34,05;48,75;4,71;72,92;8,18;1866,95;166,49;199,26;545,91;33,89;569;37;65,03;15,63;4,16;31,87;6,7;111,1;east;2173,88
